game,opponent,round,clock,team,player,event,result,related
S1-P1,Ukraine,Pool,10:00,LAT,Karlsons,bench,,
S1-P1,Ukraine,Pool,9:58,LAT,Zviedris,shot2,miss,
S1-P1,Ukraine,Pool,9:52,LAT,Bumbieris,stl,,
S1-P1,Ukraine,Pool,9:40,LAT,Skreivers,shot1,make,Bumbieris
S1-P1,Ukraine,Pool,9:35,LAT,Zviedris,to,,
S1-P1,Ukraine,Pool,9:31,OPP,Karpiuk,shot1,make,Skreivers
S1-P1,Ukraine,Pool,9:30,OPP,Karpiuk,shot1,miss,Bumbieris
S1-P1,Ukraine,Pool,9:24,LAT,Bumbieris,dreb,,
S1-P1,Ukraine,Pool,9:15,LAT,Bumbieris,bench,,
S1-P1,Ukraine,Pool,9:14,OPP,,foul,,
S1-P1,Ukraine,Pool,9:14,LAT,Zviedris,fould,,
S1-P1,Ukraine,Pool,9:10,LAT,Karlsons,shot1,miss,
S1-P1,Ukraine,Pool,9:04,LAT,Karlsons,stl,,
S1-P1,Ukraine,Pool,9:04,LAT,Zviedris,bench,,
S1-P1,Ukraine,Pool,8:58,LAT,Bumbieris,shot2,miss,
S1-P1,Ukraine,Pool,8:46,OPP,Koshevatskyi,shot1,make,Karlsons
S1-P1,Ukraine,Pool,8:44,LAT,Skreivers,bench,,
S1-P1,Ukraine,Pool,8:40,LAT,Zviedris,shot2,miss,
S1-P1,Ukraine,Pool,8:31,LAT,Bumbieris,blk,,
S1-P1,Ukraine,Pool,8:31,LAT,Bumbieris,dreb,,
S1-P1,Ukraine,Pool,8:14,LAT,Zviedris,shot1,make,
S1-P1,Ukraine,Pool,8:08,LAT,Karlsons,bench,,
S1-P1,Ukraine,Pool,8:03,LAT,Zviedris,oreb,,
S1-P1,Ukraine,Pool,8:03,LAT,Zviedris,oreb,,
S1-P1,Ukraine,Pool,7:50,OPP,,foul,,
S1-P1,Ukraine,Pool,7:50,LAT,Zviedris,fould,,
S1-P1,Ukraine,Pool,7:49,LAT,Zviedris,bench,,
S1-P1,Ukraine,Pool,7:42,OPP,,foul,,
S1-P1,Ukraine,Pool,7:42,LAT,Bumbieris,ft,miss,
S1-P1,Ukraine,Pool,7:42,LAT,Bumbieris,ft,make,
S1-P1,Ukraine,Pool,7:42,LAT,Bumbieris,fould,,
S1-P1,Ukraine,Pool,7:40,LAT,Skreivers,stl,,
S1-P1,Ukraine,Pool,7:31,LAT,Bumbieris,shot2,miss,
S1-P1,Ukraine,Pool,7:26,LAT,Skreivers,shot1,miss,
S1-P1,Ukraine,Pool,7:25,LAT,Skreivers,oreb,,
S1-P1,Ukraine,Pool,7:22,LAT,Skreivers,shot1,make,
S1-P1,Ukraine,Pool,7:16,LAT,,foul,,
S1-P1,Ukraine,Pool,7:16,LAT,Bumbieris,foul,,
S1-P1,Ukraine,Pool,7:14,LAT,Bumbieris,bench,,
S1-P1,Ukraine,Pool,7:09,LAT,Zviedris,shot1,make,Karlsons
S1-P1,Ukraine,Pool,7:06,LAT,,foul,,
S1-P1,Ukraine,Pool,7:06,LAT,Karlsons,foul,,
S1-P1,Ukraine,Pool,7:05,LAT,Karlsons,bench,,
S1-P1,Ukraine,Pool,6:59,LAT,,foul,,
S1-P1,Ukraine,Pool,6:59,LAT,Bumbieris,foul,,
S1-P1,Ukraine,Pool,6:58,LAT,Skreivers,bench,,
S1-P1,Ukraine,Pool,6:56,OPP,Zaitsev,shot1,miss,Bumbieris
S1-P1,Ukraine,Pool,6:56,LAT,Bumbieris,dreb,,
S1-P1,Ukraine,Pool,6:43,LAT,Zviedris,shot2,make,Bumbieris
S1-P1,Ukraine,Pool,6:36,OPP,Koshevatskyi,shot1,miss,Zviedris
S1-P1,Ukraine,Pool,6:36,LAT,Bumbieris,bench,,
S1-P1,Ukraine,Pool,6:23,LAT,Skreivers,shot1,make,
S1-P1,Ukraine,Pool,6:21,OPP,Karpiuk,shot1,miss,Skreivers
S1-P1,Ukraine,Pool,6:21,LAT,Karlsons,dreb,,
S1-P1,Ukraine,Pool,6:06,LAT,Karlsons,shot1,make,
S1-P1,Ukraine,Pool,5:59,OPP,Karpiuk,shot1,make,Skreivers
S1-P1,Ukraine,Pool,5:58,LAT,Karlsons,shot2,miss,
S1-P1,Ukraine,Pool,5:54,OPP,,foul,,
S1-P1,Ukraine,Pool,5:54,LAT,Zviedris,fould,,
S1-P1,Ukraine,Pool,5:54,LAT,Karlsons,bench,,
S1-P1,Ukraine,Pool,5:47,LAT,Skreivers,shot1,make,Zviedris
S1-P1,Ukraine,Pool,5:43,OPP,Koshevatskyi,shot2,miss,Bumbieris
S1-P1,Ukraine,Pool,5:43,LAT,Bumbieris,dreb,,
S1-P1,Ukraine,Pool,5:27,LAT,Zviedris,to,,
S1-P1,Ukraine,Pool,5:27,LAT,Skreivers,bench,,
S1-P1,Ukraine,Pool,5:19,OPP,Karpiuk,shot1,make,Bumbieris
S1-P1,Ukraine,Pool,5:11,LAT,Zviedris,shot2,miss,
