game,opponent,round,clock,team,player,event,result,related
S1-P2,Romania,Pool,10:00,LAT,Karlsons,bench,,
S1-P2,Romania,Pool,9:51,OPP,Constantinescu,shot1,make,Zviedris
S1-P2,Romania,Pool,9:41,LAT,Skreivers,shot2,make,Bumbieris
S1-P2,Romania,Pool,9:31,OPP,Antonescu,shot1,make,Zviedris
S1-P2,Romania,Pool,9:24,LAT,Zviedris,shot2,miss,
S1-P2,Romania,Pool,9:14,OPP,Muresan,shot2,make,Skreivers
S1-P2,Romania,Pool,9:05,LAT,Bumbieris,shot1,make,
S1-P2,Romania,Pool,9:02,LAT,Bumbieris,foul,,
S1-P2,Romania,Pool,9:02,LAT,Bumbieris,bench,,
S1-P2,Romania,Pool,8:53,OPP,Constantinescu,shot2,miss,Zviedris
S1-P2,Romania,Pool,8:37,LAT,Zviedris,shot2,miss,
S1-P2,Romania,Pool,8:33,LAT,Karlsons,foul,,
S1-P2,Romania,Pool,8:30,LAT,Zviedris,bench,,
S1-P2,Romania,Pool,8:27,OPP,Constantinescu,shot1,miss,Bumbieris
S1-P2,Romania,Pool,8:24,LAT,Skreivers,bench,,
S1-P2,Romania,Pool,8:19,OPP,Constantinescu,shot1,make,Karlsons
S1-P2,Romania,Pool,8:19,LAT,Karlsons,foul,,
S1-P2,Romania,Pool,8:19,OPP,Constantinescu,ft,make,
S1-P2,Romania,Pool,8:18,LAT,Karlsons,bench,,
S1-P2,Romania,Pool,8:09,LAT,Bumbieris,shot2,miss,
S1-P2,Romania,Pool,8:01,LAT,Bumbieris,dreb,,
S1-P2,Romania,Pool,7:57,LAT,Bumbieris,shot1,miss,
S1-P2,Romania,Pool,7:57,LAT,Bumbieris,oreb,,
S1-P2,Romania,Pool,7:56,LAT,Skreivers,fould,,
S1-P2,Romania,Pool,7:56,OPP,,foul,,
S1-P2,Romania,Pool,7:55,LAT,Zviedris,shot1,miss,
S1-P2,Romania,Pool,7:54,LAT,Zviedris,fould,,
S1-P2,Romania,Pool,7:44,OPP,,foul,,
S1-P2,Romania,Pool,7:44,LAT,Zviedris,ft,make,
S1-P2,Romania,Pool,7:43,LAT,Bumbieris,bench,,
S1-P2,Romania,Pool,7:36,LAT,Zviedris,bench,,
S1-P2,Romania,Pool,7:27,LAT,Skreivers,shot2,miss,
S1-P2,Romania,Pool,7:12,OPP,Constantinescu,shot1,miss,Karlsons
S1-P2,Romania,Pool,7:06,OPP,,foul,,
S1-P2,Romania,Pool,7:05,LAT,Skreivers,bench,,
S1-P2,Romania,Pool,6:58,LAT,Karlsons,shot1,miss,
S1-P2,Romania,Pool,6:58,LAT,Karlsons,bench,,
S1-P2,Romania,Pool,6:54,LAT,Zviedris,shot2,miss,
S1-P2,Romania,Pool,6:46,OPP,Toma,shot1,make,Zviedris
S1-P2,Romania,Pool,6:41,LAT,Skreivers,shot1,miss,
S1-P2,Romania,Pool,6:31,OPP,Constantinescu,shot1,miss,Bumbieris
S1-P2,Romania,Pool,6:28,OPP,Constantinescu,shot1,make,Bumbieris
S1-P2,Romania,Pool,6:21,OPP,,foul,,
S1-P2,Romania,Pool,6:21,LAT,Bumbieris,fould,,
S1-P2,Romania,Pool,6:21,LAT,Bumbieris,bench,,
S1-P2,Romania,Pool,6:17,OPP,,foul,,
S1-P2,Romania,Pool,6:17,LAT,Zviedris,fould,,
S1-P2,Romania,Pool,6:09,LAT,Zviedris,shot1,miss,
S1-P2,Romania,Pool,5:59,LAT,Zviedris,bench,,
S1-P2,Romania,Pool,5:58,OPP,,foul,,
S1-P2,Romania,Pool,5:58,LAT,Bumbieris,fould,,
S1-P2,Romania,Pool,5:48,LAT,Skreivers,shot1,make,Bumbieris
S1-P2,Romania,Pool,5:42,LAT,Karlsons,foul,,
S1-P2,Romania,Pool,5:42,LAT,Skreivers,bench,,
S1-P2,Romania,Pool,5:35,OPP,Antonescu,shot2,make,Karlsons
S1-P2,Romania,Pool,5:28,LAT,Zviedris,shot1,make,Bumbieris
S1-P2,Romania,Pool,5:20,OPP,Antonescu,shot1,miss,Bumbieris
S1-P2,Romania,Pool,5:13,LAT,Bumbieris,shot2,miss,
