game,opponent,round,clock,team,player,event,result,related
SAMPLE,Serbia,Final,10:00,LAT,Karlsons,bench,,
SAMPLE,Serbia,Final,10:00,LAT,Bumbieris,matchup,,Kovacevic
SAMPLE,Serbia,Final,9:44,LAT,Skreivers,shot1,make,Bumbieris
SAMPLE,Serbia,Final,9:20,OPP,Kovacevic,shot2,miss,
SAMPLE,Serbia,Final,9:18,LAT,Bumbieris,dreb,,
SAMPLE,Serbia,Final,9:05,LAT,Zviedris,shot2,make,Skreivers
SAMPLE,Serbia,Final,8:40,OPP,Ilic,shot1,make,
SAMPLE,Serbia,Final,8:24,LAT,Karlsons,shot2,miss,
SAMPLE,Serbia,Final,8:22,LAT,Zviedris,oreb,,
SAMPLE,Serbia,Final,8:15,LAT,Zviedris,shot1,make,
SAMPLE,Serbia,Final,7:58,LAT,Bumbieris,blk,,
SAMPLE,Serbia,Final,7:55,LAT,Skreivers,dreb,,
SAMPLE,Serbia,Final,7:40,LAT,Bumbieris,to,,
SAMPLE,Serbia,Final,7:12,OPP,Kovacevic,shot1,make,
SAMPLE,Serbia,Final,6:50,LAT,Karlsons,fould,,
SAMPLE,Serbia,Final,6:50,LAT,Karlsons,ft,make,
SAMPLE,Serbia,Final,6:50,LAT,Karlsons,ft,miss,
SAMPLE,Serbia,Final,6:30,LAT,Zviedris,foul,,
SAMPLE,Serbia,Final,6:10,LAT,Zviedris,bench,,
SAMPLE,Serbia,Final,5:45,LAT,Karlsons,shot2,make,Bumbieris
SAMPLE,Serbia,Final,5:20,OPP,Kovacevic,shot2,miss,
SAMPLE,Serbia,Final,5:18,LAT,Bumbieris,dreb,,
SAMPLE,Serbia,Final,5:02,LAT,Skreivers,shot1,miss,
SAMPLE,Serbia,Final,5:00,LAT,Skreivers,oreb,,
SAMPLE,Serbia,Final,4:55,LAT,Skreivers,shot1,make,
SAMPLE,Serbia,Final,4:30,LAT,Karlsons,stl,,
SAMPLE,Serbia,Final,4:12,LAT,Karlsons,shot2,make,Skreivers
SAMPLE,Serbia,Final,3:50,OPP,Ilic,shot1,make,
SAMPLE,Serbia,Final,3:30,LAT,Bumbieris,shot1,make,Karlsons
SAMPLE,Serbia,Final,3:05,LAT,Bumbieris,foul,,
SAMPLE,Serbia,Final,2:48,OPP,Kovacevic,shot1,make,
SAMPLE,Serbia,Final,2:20,LAT,Skreivers,shot1,make,Bumbieris
SAMPLE,Serbia,Final,1:55,LAT,Karlsons,fould,,
SAMPLE,Serbia,Final,1:55,LAT,Karlsons,ft,make,
SAMPLE,Serbia,Final,1:30,LAT,Karlsons,bench,,
SAMPLE,Serbia,Final,1:10,LAT,Zviedris,shot2,make,Skreivers
