game,opponent,round,clock,team,player,event,result,related,jersey
S1-F,Serbia,Final,9:31,LAT,Skreivers,shot1,make,,3
S1-F,Serbia,Final,9:28,LAT,,foul,,,
S1-F,Serbia,Final,9:13,OPP,,foul,,,
S1-F,Serbia,Final,8:55,OPP,,foul,,,
S1-F,Serbia,Final,8:36,LAT,,foul,,,
S1-F,Serbia,Final,8:36,OPP,Dordevic,ft,make,,4
S1-F,Serbia,Final,8:36,OPP,Dordevic,ft,make,,4
S1-F,Serbia,Final,8:24,LAT,Bumbieris,shot1,make,,4
S1-F,Serbia,Final,8:15,OPP,Topalovic,shot1,make,,13
S1-F,Serbia,Final,7:51,LAT,Zviedris,shot2,make,,2
S1-F,Serbia,Final,7:46,LAT,,foul,,,
S1-F,Serbia,Final,7:43,LAT,,foul,,,
S1-F,Serbia,Final,7:32,LAT,,foul,,,
S1-F,Serbia,Final,7:32,OPP,Labovic,ft,make,,7
S1-F,Serbia,Final,7:24,OPP,,foul,,,
S1-F,Serbia,Final,7:05,LAT,,foul,,,
S1-F,Serbia,Final,7:05,OPP,Dordevic,ft,make,,4
S1-F,Serbia,Final,6:56,OPP,Topalovic,shot1,make,,13
S1-F,Serbia,Final,6:46,OPP,,foul,,,
S1-F,Serbia,Final,6:36,LAT,Bumbieris,shot1,make,,4
S1-F,Serbia,Final,5:28,OPP,Topalovic,shot1,make,,13
S1-F,Serbia,Final,5:23,OPP,,foul,,,
S1-F,Serbia,Final,5:12,OPP,,foul,,,
S1-F,Serbia,Final,4:35,LAT,,foul,,,
S1-F,Serbia,Final,4:35,OPP,Labovic,ft,make,,7
S1-F,Serbia,Final,4:35,OPP,Labovic,ft,make,,7
S1-F,Serbia,Final,4:27,LAT,Zviedris,shot2,make,,2
S1-F,Serbia,Final,4:13,OPP,Dordevic,shot1,make,,4
S1-F,Serbia,Final,4:07,OPP,Topalovic,shot1,make,,13
S1-F,Serbia,Final,3:55,LAT,Zviedris,shot1,make,,2
S1-F,Serbia,Final,3:46,OPP,Dordevic,shot1,make,,4
S1-F,Serbia,Final,3:25,LAT,Skreivers,shot1,make,,3
S1-F,Serbia,Final,3:05,LAT,Skreivers,shot1,make,,3
S1-F,Serbia,Final,2:29,OPP,Labovic,shot2,make,,7
S1-F,Serbia,Final,2:18,LAT,Bumbieris,shot1,make,,4
S1-F,Serbia,Final,2:00,LAT,Karlsons,shot1,make,,5
S1-F,Serbia,Final,1:23,LAT,Skreivers,shot1,make,,3
S1-F,Serbia,Final,1:15,OPP,Cvrkota,shot1,make,,14
S1-F,Serbia,Final,0:59,OPP,,foul,,,
S1-F,Serbia,Final,0:59,LAT,,ft,miss,,
S1-F,Serbia,Final,0:41,OPP,Cvrkota,shot1,make,,14
S1-F,Serbia,Final,0:14,LAT,Skreivers,shot1,make,,3
S1-F,Serbia,Final,0:03,OPP,Topalovic,shot1,make,,13
S1-F,Serbia,Final,0:00,LAT,Skreivers,shot2,make,,3
