game,opponent,round,clock,team,player,event,result,related,jersey
S3-F,Switzerland,Final,9:38,LAT,Bumbieris,shot2,make,,4
S3-F,Switzerland,Final,9:23,OPP,,foul,,,
S3-F,Switzerland,Final,9:11,LAT,Bumbieris,shot1,make,,4
S3-F,Switzerland,Final,9:00,LAT,,foul,,,
S3-F,Switzerland,Final,9:00,OPP,,ft,miss,,
S3-F,Switzerland,Final,8:52,LAT,Skreivers,shot1,make,,3
S3-F,Switzerland,Final,8:43,OPP,Wyttenbach,shot2,make,,19
S3-F,Switzerland,Final,8:18,OPP,,foul,,,
S3-F,Switzerland,Final,8:12,OPP,,foul,,,
S3-F,Switzerland,Final,7:42,LAT,Zviedris,shot1,make,,2
S3-F,Switzerland,Final,7:27,OPP,,foul,,,
S3-F,Switzerland,Final,7:17,OPP,,foul,,,
S3-F,Switzerland,Final,7:17,LAT,Karlsons,ft,make,,5
S3-F,Switzerland,Final,6:56,LAT,Zviedris,shot2,make,,2
S3-F,Switzerland,Final,6:45,OPP,Maboso,shot1,make,,18
S3-F,Switzerland,Final,6:33,LAT,Bumbieris,shot1,make,,4
S3-F,Switzerland,Final,6:13,LAT,Zviedris,shot1,make,,2
S3-F,Switzerland,Final,5:53,LAT,Bumbieris,shot1,make,,4
S3-F,Switzerland,Final,5:38,OPP,Maboso,shot1,make,,18
S3-F,Switzerland,Final,5:19,LAT,,foul,,,
S3-F,Switzerland,Final,5:19,OPP,Wyttenbach,ft,make,,19
S3-F,Switzerland,Final,5:07,LAT,Skreivers,shot1,make,,3
S3-F,Switzerland,Final,4:52,OPP,,foul,,,
S3-F,Switzerland,Final,4:39,OPP,Maboso,shot1,make,,18
S3-F,Switzerland,Final,4:33,LAT,Skreivers,shot1,make,,3
S3-F,Switzerland,Final,4:02,LAT,Bumbieris,shot1,make,,4
S3-F,Switzerland,Final,3:54,LAT,Karlsons,shot1,make,,5
S3-F,Switzerland,Final,3:08,LAT,Skreivers,shot1,make,,3
S3-F,Switzerland,Final,2:42,LAT,Skreivers,shot1,make,,3
S3-F,Switzerland,Final,2:26,LAT,Skreivers,shot1,make,,3
S3-F,Switzerland,Final,2:17,LAT,,foul,,,
S3-F,Switzerland,Final,2:09,OPP,Wyttenbach,shot2,make,,19
S3-F,Switzerland,Final,1:57,LAT,Karlsons,shot2,make,,5
S3-F,Switzerland,Final,1:38,OPP,,foul,,,
S3-F,Switzerland,Final,1:38,LAT,Skreivers,ft,make,,3
