game,opponent,round,clock,team,player,event,result,related,jersey
S3-P2,Poland,Pool,9:54,OPP,Ponitka,shot1,make,,5
S3-P2,Poland,Pool,9:50,OPP,,foul,,,
S3-P2,Poland,Pool,9:39,LAT,Skreivers,shot1,make,,3
S3-P2,Poland,Pool,9:07,OPP,Margiciok,shot1,make,,12
S3-P2,Poland,Pool,9:01,LAT,Bumbieris,shot2,make,,4
S3-P2,Poland,Pool,8:55,LAT,,foul,,,
S3-P2,Poland,Pool,8:39,LAT,Skreivers,shot1,make,,3
S3-P2,Poland,Pool,8:20,OPP,,foul,,,
S3-P2,Poland,Pool,8:05,OPP,Rosiński,shot1,make,,8
S3-P2,Poland,Pool,7:44,LAT,Zviedris,shot1,make,,2
S3-P2,Poland,Pool,7:32,LAT,Skreivers,shot1,make,,3
S3-P2,Poland,Pool,7:17,LAT,Zviedris,shot1,make,,2
S3-P2,Poland,Pool,6:56,LAT,Zviedris,shot1,make,,2
S3-P2,Poland,Pool,6:16,LAT,,foul,,,
S3-P2,Poland,Pool,5:59,LAT,Bumbieris,shot2,make,,4
S3-P2,Poland,Pool,5:50,OPP,,foul,,,
S3-P2,Poland,Pool,5:39,LAT,Bumbieris,shot1,make,,4
S3-P2,Poland,Pool,5:28,LAT,,foul,,,
S3-P2,Poland,Pool,5:28,OPP,,ft,miss,,
S3-P2,Poland,Pool,5:22,LAT,Zviedris,shot2,make,,2
S3-P2,Poland,Pool,5:08,LAT,Zviedris,shot2,make,,2
S3-P2,Poland,Pool,4:51,LAT,Zviedris,shot1,make,,2
S3-P2,Poland,Pool,4:40,LAT,,foul,,,
S3-P2,Poland,Pool,4:40,OPP,Margiciok,ft,make,,12
S3-P2,Poland,Pool,4:10,LAT,Skreivers,shot1,make,,3
S3-P2,Poland,Pool,4:03,LAT,Skreivers,shot1,make,,3
S3-P2,Poland,Pool,3:47,LAT,Zviedris,shot1,make,,2
S3-P2,Poland,Pool,3:33,LAT,,foul,,,
S3-P2,Poland,Pool,3:33,OPP,Ponitka,ft,make,,5
S3-P2,Poland,Pool,3:10,LAT,Skreivers,shot1,make,,3
S3-P2,Poland,Pool,3:05,OPP,Margiciok,shot2,make,,12
S3-P2,Poland,Pool,2:55,LAT,Skreivers,shot2,make,,3
