game,opponent,round,clock,team,player,event,result,related,jersey
S5-P1,Ukraine,Pool,9:35,OPP,Diupin,shot1,make,,4
S5-P1,Ukraine,Pool,9:22,LAT,Bumbieris,shot1,make,,4
S5-P1,Ukraine,Pool,9:09,OPP,Karpiuk,shot1,make,,6
S5-P1,Ukraine,Pool,8:41,LAT,Zviedris,shot1,make,,2
S5-P1,Ukraine,Pool,8:05,LAT,,foul,,,
S5-P1,Ukraine,Pool,8:02,LAT,,foul,,,
S5-P1,Ukraine,Pool,6:34,LAT,,foul,,,
S5-P1,Ukraine,Pool,6:20,LAT,,foul,,,
S5-P1,Ukraine,Pool,6:07,OPP,Karpiuk,shot1,make,,6
S5-P1,Ukraine,Pool,5:56,OPP,,foul,,,
S5-P1,Ukraine,Pool,5:34,OPP,Karpiuk,shot1,make,,6
S5-P1,Ukraine,Pool,5:11,OPP,,foul,,,
S5-P1,Ukraine,Pool,4:55,OPP,Diupin,shot1,make,,4
S5-P1,Ukraine,Pool,4:34,LAT,Zviedris,shot1,make,,2
S5-P1,Ukraine,Pool,4:10,OPP,Koshevatskyi,shot1,make,,3
S5-P1,Ukraine,Pool,3:37,LAT,,foul,,,
S5-P1,Ukraine,Pool,3:37,OPP,Zaitsev,ft,make,,1
S5-P1,Ukraine,Pool,3:28,LAT,Skreivers,shot1,make,,3
S5-P1,Ukraine,Pool,3:22,LAT,,foul,,,
S5-P1,Ukraine,Pool,2:44,OPP,,foul,,,
S5-P1,Ukraine,Pool,2:35,OPP,,foul,,,
S5-P1,Ukraine,Pool,2:35,LAT,Skreivers,ft,make,,3
S5-P1,Ukraine,Pool,2:14,LAT,Karlsons,shot2,make,,5
S5-P1,Ukraine,Pool,1:24,LAT,Skreivers,shot1,make,,3
S5-P1,Ukraine,Pool,0:37,OPP,Zaitsev,shot2,make,,1
S5-P1,Ukraine,Pool,0:35,OPP,,foul,,,
S5-P1,Ukraine,Pool,0:23,LAT,Zviedris,shot1,make,,2
S5-P1,Ukraine,Pool,0:12,OPP,Koshevatskyi,shot2,make,,3
