game,opponent,round,clock,team,player,event,result,related,jersey
S6-F,Poland,Final,9:48,OPP,Ponitka,shot2,make,,5
S6-F,Poland,Final,9:33,LAT,Karlsons,shot2,make,,5
S6-F,Poland,Final,9:27,OPP,Gurtatowski,shot1,make,,6
S6-F,Poland,Final,9:27,LAT,,foul,,,
S6-F,Poland,Final,9:27,OPP,Gurtatowski,ft,make,,6
S6-F,Poland,Final,8:36,LAT,Skreivers,shot2,make,,3
S6-F,Poland,Final,8:29,LAT,,foul,,,
S6-F,Poland,Final,8:19,OPP,Siemianiuk,shot2,make,,3
S6-F,Poland,Final,8:12,LAT,Zviedris,shot1,make,,2
S6-F,Poland,Final,8:04,OPP,,foul,,,
S6-F,Poland,Final,7:53,LAT,Bumbieris,shot1,make,,4
S6-F,Poland,Final,7:47,LAT,,foul,,,
S6-F,Poland,Final,7:39,OPP,Margiciok,shot2,make,,12
S6-F,Poland,Final,7:21,OPP,,foul,,,
S6-F,Poland,Final,7:05,LAT,Karlsons,shot2,make,,5
S6-F,Poland,Final,6:53,OPP,Margiciok,shot1,make,,12
S6-F,Poland,Final,6:38,OPP,Margiciok,shot1,make,,12
S6-F,Poland,Final,6:12,OPP,Gurtatowski,shot1,make,,6
S6-F,Poland,Final,6:00,LAT,Bumbieris,shot2,make,,4
S6-F,Poland,Final,5:35,LAT,Skreivers,shot1,make,,3
S6-F,Poland,Final,4:58,OPP,Ponitka,shot1,make,,5
S6-F,Poland,Final,4:51,OPP,,foul,,,
S6-F,Poland,Final,4:37,LAT,Bumbieris,shot2,make,,4
S6-F,Poland,Final,4:10,LAT,Skreivers,shot1,make,,3
S6-F,Poland,Final,3:46,LAT,Skreivers,shot1,make,,3
S6-F,Poland,Final,3:17,OPP,,foul,,,
S6-F,Poland,Final,3:17,LAT,Zviedris,ft,make,,2
S6-F,Poland,Final,3:10,OPP,Ponitka,shot1,make,,5
S6-F,Poland,Final,2:49,LAT,,foul,,,
S6-F,Poland,Final,2:25,OPP,Gurtatowski,shot1,make,,6
S6-F,Poland,Final,1:54,LAT,Bumbieris,shot2,make,,4
S6-F,Poland,Final,1:35,LAT,Skreivers,shot1,make,,3
S6-F,Poland,Final,1:17,LAT,Skreivers,shot1,make,,3
S6-F,Poland,Final,0:54,LAT,Zviedris,shot1,make,,2
