game,opponent,round,clock,team,player,event,result,related,jersey
S6-P1,Switzerland,Pool,9:54,LAT,Zviedris,shot1,make,,2
S6-P1,Switzerland,Pool,9:42,OPP,Ugurtas,shot1,make,,10
S6-P1,Switzerland,Pool,9:30,LAT,Zviedris,shot1,make,,2
S6-P1,Switzerland,Pool,9:24,LAT,,foul,,,
S6-P1,Switzerland,Pool,9:24,OPP,,ft,miss,,
S6-P1,Switzerland,Pool,9:22,OPP,Harvey-Seutcheu,shot1,make,,67
S6-P1,Switzerland,Pool,9:15,OPP,,foul,,,
S6-P1,Switzerland,Pool,9:06,LAT,Bumbieris,shot1,make,,4
S6-P1,Switzerland,Pool,8:54,OPP,Maboso,shot1,make,,18
S6-P1,Switzerland,Pool,8:43,LAT,Skreivers,shot1,make,,3
S6-P1,Switzerland,Pool,8:38,LAT,,foul,,,
S6-P1,Switzerland,Pool,8:38,OPP,,ft,miss,,
S6-P1,Switzerland,Pool,8:22,LAT,Skreivers,shot1,make,,3
S6-P1,Switzerland,Pool,7:46,OPP,Ugurtas,shot2,make,,10
S6-P1,Switzerland,Pool,7:30,LAT,,foul,,,
S6-P1,Switzerland,Pool,6:50,LAT,Bumbieris,shot1,make,,4
S6-P1,Switzerland,Pool,6:35,OPP,,foul,,,
S6-P1,Switzerland,Pool,6:08,OPP,Ugurtas,shot1,make,,10
S6-P1,Switzerland,Pool,5:59,OPP,,foul,,,
S6-P1,Switzerland,Pool,5:48,LAT,Zviedris,shot1,make,,2
S6-P1,Switzerland,Pool,5:36,LAT,,foul,,,
S6-P1,Switzerland,Pool,5:36,OPP,,foul,,,
S6-P1,Switzerland,Pool,5:22,OPP,Maboso,shot2,make,,18
S6-P1,Switzerland,Pool,5:10,LAT,Karlsons,shot2,make,,5
S6-P1,Switzerland,Pool,5:02,OPP,Ugurtas,shot1,make,,10
S6-P1,Switzerland,Pool,4:24,LAT,,foul,,,
S6-P1,Switzerland,Pool,4:14,OPP,Ugurtas,shot2,make,,10
S6-P1,Switzerland,Pool,3:49,OPP,Harvey-Seutcheu,shot1,make,,67
S6-P1,Switzerland,Pool,2:24,OPP,,foul,,,
S6-P1,Switzerland,Pool,2:12,LAT,Zviedris,shot2,make,,2
S6-P1,Switzerland,Pool,1:41,OPP,Harvey-Seutcheu,shot1,make,,67
S6-P1,Switzerland,Pool,1:31,OPP,,foul,,,
S6-P1,Switzerland,Pool,1:31,LAT,Karlsons,ft,make,,5
S6-P1,Switzerland,Pool,0:51,LAT,,foul,,,
S6-P1,Switzerland,Pool,0:29,LAT,Karlsons,shot1,make,,5
S6-P1,Switzerland,Pool,0:07,LAT,Skreivers,shot1,make,,3
