game,opponent,round,clock,team,player,event,result,related,jersey
S6-P2,Romania,Pool,9:32,LAT,Zviedris,shot2,make,,2
S6-P2,Romania,Pool,9:22,OPP,Antonescu,shot1,make,,14
S6-P2,Romania,Pool,9:08,LAT,Karlsons,shot1,make,,5
S6-P2,Romania,Pool,9:04,LAT,,foul,,,
S6-P2,Romania,Pool,8:54,OPP,,foul,,,
S6-P2,Romania,Pool,8:26,LAT,Bumbieris,shot1,make,,4
S6-P2,Romania,Pool,8:23,LAT,,foul,,,
S6-P2,Romania,Pool,8:16,OPP,Constantinescu,shot2,make,,6
S6-P2,Romania,Pool,8:09,OPP,,foul,,,
S6-P2,Romania,Pool,8:09,LAT,,ft,miss,,
S6-P2,Romania,Pool,8:04,LAT,,foul,,,
S6-P2,Romania,Pool,7:56,OPP,Muresan,shot1,make,,0
S6-P2,Romania,Pool,7:46,LAT,Karlsons,shot2,make,,5
S6-P2,Romania,Pool,7:06,LAT,Skreivers,shot1,make,,3
S6-P2,Romania,Pool,7:06,OPP,,foul,,,
S6-P2,Romania,Pool,7:06,LAT,Skreivers,ft,make,,3
S6-P2,Romania,Pool,6:59,OPP,Muresan,shot2,make,,0
S6-P2,Romania,Pool,6:44,OPP,Muresan,shot1,make,,0
S6-P2,Romania,Pool,6:19,LAT,Skreivers,shot1,make,,3
S6-P2,Romania,Pool,5:53,LAT,Skreivers,shot2,make,,3
S6-P2,Romania,Pool,5:18,OPP,Antonescu,shot1,make,,14
S6-P2,Romania,Pool,5:04,LAT,Karlsons,shot1,make,,5
S6-P2,Romania,Pool,4:39,LAT,Karlsons,shot2,make,,5
S6-P2,Romania,Pool,4:15,OPP,Antonescu,shot2,make,,14
S6-P2,Romania,Pool,4:06,LAT,Zviedris,shot2,make,,2
S6-P2,Romania,Pool,3:51,LAT,Skreivers,shot1,make,,3
S6-P2,Romania,Pool,3:43,LAT,Skreivers,shot2,make,,3
S6-P2,Romania,Pool,3:26,LAT,Skreivers,shot2,make,,3
